"(14,l)","(7,n)","(4,s)"
"(27,l)","(7,n)","(4,s)"
"(26,n)","(10,l)","(26,l)","(23,s)","(2,n)","(26,l)","(18,s)","(17,s)","(26,l)","(8,l)"
"(27,l)","(7,n)","(4,n)","(18,n)","(17,n)","(18,l)","(16,s)"
"(27,l)","(7,n)","(4,n)","(26,s)","(18,n)","(17,n)","(18,l)","(16,n)","(19,n)"
"(27,l)","(7,n)","(4,n)","(18,n)","(17,n)","(18,l)","(16,n)","(19,n)","(12,n)","(13,n)","(18,n)","(17,l)","(6,n)","(25,l)","(0,n)","(11,n)"
"(7,s)","(1,n)","(9,l)","(7,s)","(23,n)","(2,n)","(3,n)","(0,n)","(11,n)"
"(10,l)","(23,s)","(2,n)","(10,n)","(3,n)","(26,n)","(5,l)","(11,n)","(12,n)","(13,n)","(0,l)","(15,s)","(11,s)"
"(1,n)","(9,l)","(26,s)","(23,l)","(2,l)","(3,l)","(0,n)","(11,n)","(12,s)","(13,l)","(0,l)","(27,s)"
"(1,n)","(9,n)","(23,n)","(2,n)","(3,l)","(26,n)","(5,l)","(11,n)","(12,s)","(13,l)","(0,l)","(15,n)","(11,n)","(15,s)"
"(1,n)","(20,s)"
"(2,s)","(3,n)","(7,n)","(4,s)"
"(27,l)","(7,n)","(4,n)"
"(2,s)","(18,n)","(17,n)","(18,l)","(16,l)","(12,n)","(13,n)","(18,s)","(17,n)","(6,n)","(25,n)","(24,n)"
"(1,s)","(9,n)","(23,n)","(2,n)","(3,n)","(0,n)","(11,n)","(12,n)","(13,l)","(0,l)","(15,s)","(11,s)","(15,n)","(11,n)","(15,s)"
"(1,n)","(9,s)","(23,l)","(2,n)","(3,n)","(7,n)"
"(27,l)","(23,n)","(2,n)","(3,l)","(0,n)","(11,l)","(12,n)","(13,l)","(0,n)","(11,n)"
"(27,n)","(1,s)","(9,n)","(23,n)","(2,l)","(3,l)","(26,l)","(5,l)","(11,l)","(12,s)","(13,n)","(0,n)","(11,n)"
"(23,l)","(2,l)","(3,n)","(26,n)","(5,l)","(11,n)","(12,n)","(13,l)","(0,l)","(15,s)","(11,n)","(15,n)","(11,s)","(15,n)","(11,l)","(12,s)","(13,n)","(0,n)","(26,s)","(5,s)","(11,n)"
"(1,n)","(9,l)","(23,n)","(2,l)","(3,l)","(26,n)","(5,l)","(11,l)","(12,s)","(13,n)","(0,l)","(11,n)"
"(1,n)","(9,l)","(23,n)","(2,l)","(3,l)","(7,n)","(4,n)","(18,n)","(17,s)","(18,l)"
"(1,s)","(9,el)","(23,n)","(2,n)","(3,l)","(0,n)","(11,l)","(12,n)","(13,n)","(0,l)","(11,n)"
"(1,n)","(9,n)","(23,l)","(2,l)","(3,n)","(26,n)","(5,l)","(11,n)","(12,n)","(13,l)","(0,n)","(15,n)","(11,s)","(15,s)"
"(2,l)","(3,l)","(26,l)","(5,l)","(11,n)","(12,n)","(13,n)","(0,l)","(15,s)","(16,s)","(11,n)","(15,s)","(11,n)"
"(1,n)","(9,l)","(23,n)","(2,l)","(3,n)"
"(10,l)","(23,s)","(2,s)","(18,n)","(17,n)","(18,l)","(16,n)","(10,n)","(12,l)","(13,n)","(18,s)","(17,l)","(6,l)","(25,n)","(24,n)"
"(1,n)","(9,n)","(23,n)","(2,n)","(3,n)","(7,l)","(4,n)","(26,l)","(18,s)","(17,n)","(18,l)","(16,s)"
"(2,l)","(3,l)","(26,l)","(5,l)","(11,n)","(12,n)","(13,l)","(0,l)","(11,n)"
"(23,s)","(2,s)","(26,l)","(17,n)","(8,n)","(21,l)","(26,l)","(23,l)","(2,l)","(3,n)","(0,n)","(11,n)"
"(1,n)","(9,n)","(23,n)","(2,n)","(3,n)","(26,n)","(5,l)","(11,l)","(12,n)","(13,l)","(18,n)","(17,n)","(6,n)","(25,n)","(24,s)"
"(2,n)","(3,n)","(7,l)","(4,n)","(26,s)","(18,n)","(17,s)","(18,l)","(16,s)"
"(1,s)","(9,l)","(23,l)","(2,l)","(3,l)","(26,n)","(5,l)","(11,l)","(12,n)","(13,s)","(0,l)","(15,n)","(11,s)","(15,n)","(11,n)","(15,s)"
"(1,n)","(9,l)","(23,n)","(2,n)","(3,n)","(26,l)","(5,l)","(11,l)","(12,n)","(13,n)","(0,l)","(11,n)"
"(1,s)","(9,n)","(28,n)","(23,n)","(2,l)","(3,n)","(7,l)","(4,n)","(26,n)","(18,n)","(17,n)","(18,l)","(16,s)"
"(10,n)","(23,s)","(2,s)","(26,s)","(18,n)","(17,n)","(8,n)","(21,n)","(22,n)","(15,s)"
"(1,s)","(9,l)","(23,n)","(2,n)","(3,n)","(26,l)","(5,l)","(11,l)","(12,n)","(13,l)","(0,n)","(11,n)"
"(1,s)","(9,l)","(23,l)","(2,l)","(3,l)","(26,n)","(5,l)","(11,l)","(12,s)","(13,l)","(0,l)","(15,n)","(11,n)","(15,n)","(11,n)","(15,s)"
"(1,n)","(20,l)","(10,n)","(12,n)","(13,n)","(17,n)","(6,l)","(25,s)","(24,n)"
"(10,l)","(23,s)","(2,n)","(18,n)","(17,s)","(8,n)","(21,l)","(22,l)","(15,s)"
"(14,n)","(19,s)","(12,n)","(13,n)","(18,s)","(17,l)","(6,l)","(25,n)","(24,n)"
"(10,n)","(23,s)","(2,n)","(26,n)","(17,n)","(8,n)","(21,n)","(26,l)","(23,l)","(2,n)","(3,s)","(0,n)","(11,n)"
"(2,l)","(3,l)","(7,l)","(4,n)","(26,l)","(18,n)","(17,n)","(18,l)","(16,s)"
"(1,s)","(9,l)","(23,n)","(2,n)","(3,l)","(26,l)","(5,l)","(11,l)","(12,s)","(13,n)","(0,l)","(15,n)","(11,s)","(15,n)","(11,n)","(15,s)"
"(7,s)","(2,s)","(7,s)","(2,l)","(3,l)","(7,l)","(4,n)","(26,n)","(18,n)","(17,n)","(18,l)","(16,s)"
"(2,l)","(3,l)","(26,n)","(5,l)","(11,l)","(12,n)","(13,n)","(0,l)","(15,n)","(11,n)","(15,n)","(11,n)","(15,n)","(11,l)","(12,n)","(13,n)","(0,n)","(15,s)"
"(1,n)","(20,n)"
"(27,l)","(23,n)","(2,l)","(3,n)","(26,n)","(5,l)","(11,n)","(12,n)","(13,n)","(0,l)","(15,s)","(11,s)","(15,n)","(11,n)","(15,s)"
"(10,l)","(26,n)","(10,s)","(26,s)","(10,s)","(23,s)","(2,s)","(26,l)","(18,n)","(17,n)","(8,n)","(21,n)"
"(10,l)","(23,s)","(2,s)","(10,s)","(18,n)","(17,s)","(10,n)","(8,l)","(21,n)","(22,l)","(15,n)","(11,n)","(15,n)","(11,n)","(15,n)","(11,n)","(12,n)","(13,l)","(0,l)","(11,n)"
"(1,n)","(9,l)","(23,n)","(2,n)","(3,l)","(26,l)","(5,l)","(11,l)","(12,n)","(13,l)","(0,l)","(11,n)"
"(10,l)","(26,l)","(23,s)","(2,n)","(18,n)","(17,n)","(8,l)","(21,n)","(26,l)","(23,l)","(2,n)","(3,s)","(26,l)","(5,l)","(11,n)"
"(14,n)","(7,n)","(4,n)","(18,n)","(17,n)","(18,l)","(16,l)"
"(1,n)","(9,l)","(23,l)","(2,n)","(3,n)","(26,n)","(5,s)"
"(14,n)","(7,n)","(4,n)","(26,n)","(18,n)","(17,s)","(18,l)","(16,l)","(11,s)","(12,n)","(13,n)","(18,n)","(17,n)","(6,l)","(25,n)","(24,l)"
"(7,s)","(1,n)","(9,l)","(23,n)","(2,n)","(3,n)","(7,l)","(4,n)","(26,n)","(18,n)","(17,n)","(18,l)","(16,n)","(26,s)","(16,n)","(19,n)"
"(27,s)","(28,n)","(1,n)","(9,l)","(23,n)","(2,n)","(3,n)","(26,n)","(5,l)","(11,l)","(12,n)","(13,l)","(0,l)","(15,n)","(11,n)","(15,n)","(11,n)","(15,n)","(11,n)","(12,s)","(13,l)","(0,l)","(15,s)"
"(1,n)","(9,n)","(23,n)","(2,l)","(3,l)","(26,l)","(5,l)","(27,n)","(23,l)","(2,l)","(3,l)","(0,s)","(11,n)"
"(26,n)","(10,l)","(23,s)","(2,n)","(26,n)","(18,n)","(17,n)","(8,l)","(21,l)","(22,l)","(15,n)","(11,n)","(15,n)","(11,n)"
"(27,n)","(23,n)","(2,l)","(3,n)","(7,l)","(4,n)","(26,s)","(18,n)","(17,s)","(18,l)","(16,l)"
"(1,n)","(9,l)","(23,l)","(2,n)","(3,l)","(26,n)","(5,l)","(11,l)","(12,n)","(13,l)","(0,l)","(15,s)","(16,s)"
"(1,n)","(20,n)"
"(10,l)","(23,s)","(2,s)","(26,n)","(18,n)","(17,n)","(10,s)","(18,l)","(16,n)"
"(27,n)","(23,l)","(2,l)","(3,n)","(26,l)","(5,l)","(11,l)","(12,n)","(13,n)","(0,l)"
"(28,l)","(1,s)","(9,n)","(23,n)","(2,l)","(3,n)","(26,n)","(5,l)","(11,l)","(12,n)","(13,l)","(0,l)","(15,s)","(11,n)","(15,n)","(11,n)","(15,n)","(11,n)","(12,n)","(13,n)","(0,l)","(11,l)","(26,n)","(12,n)","(13,n)","(0,l)","(15,s)"
"(1,n)","(9,n)","(23,l)","(2,l)","(3,n)","(7,l)","(4,s)","(10,n)","(18,n)","(17,s)","(18,l)","(14,n)","(16,s)"
"(1,s)","(9,n)","(23,n)","(2,l)","(3,n)","(26,n)","(5,l)","(11,l)","(12,n)","(13,l)","(18,s)","(17,n)","(6,l)","(25,n)","(24,n)"
"(2,l)","(3,n)","(7,l)","(4,n)","(26,s)","(18,n)","(17,s)","(18,l)","(16,n)"
"(1,n)","(9,n)","(23,l)","(2,n)","(3,n)","(7,n)","(4,n)"
"(27,l)","(23,n)","(2,l)","(3,n)","(26,n)","(5,l)","(11,n)","(12,n)","(13,n)","(18,n)","(17,l)","(6,n)","(25,n)","(24,n)"
"(1,s)","(9,n)"
"(1,s)","(9,l)","(3,s)","(23,l)","(2,n)","(3,n)","(7,n)","(4,n)","(18,n)","(17,s)","(18,l)","(16,n)","(19,n)","(14,s)"
"(10,l)","(23,s)","(2,n)","(18,n)","(17,n)","(10,n)","(8,n)","(21,l)","(22,l)","(15,l)","(11,n)","(15,n)","(11,n)","(26,s)","(12,l)","(13,n)","(0,n)","(11,l)","(12,n)","(13,n)","(0,l)","(11,n)"
"(10,n)","(26,n)","(10,n)","(23,s)","(2,n)","(26,s)","(18,n)","(17,s)","(26,n)","(8,l)","(21,n)","(26,n)","(23,l)","(2,l)","(3,n)","(26,l)","(5,l)","(11,l)","(12,n)","(13,l)","(0,l)","(11,n)"
"(10,n)","(23,s)","(2,n)","(3,n)","(26,n)","(5,l)","(11,n)","(12,n)","(13,n)","(18,n)","(17,n)","(6,n)","(25,n)","(24,n)"
"(27,l)","(23,s)","(7,s)","(2,l)","(3,n)","(7,n)","(4,n)","(18,n)","(17,n)","(18,l)","(16,l)","(19,n)","(14,n)","(19,n)"
"(2,l)","(3,n)","(26,l)","(5,l)","(11,l)","(12,n)","(13,n)","(0,l)","(15,n)","(11,s)","(15,n)","(11,n)","(15,n)","(11,n)","(12,s)","(13,n)","(0,l)","(11,l)","(12,s)","(13,n)","(0,n)"
"(1,n)","(20,n)"
"(10,l)","(23,s)","(2,n)","(26,s)","(18,n)","(17,s)","(10,s)","(8,n)","(21,n)","(22,n)","(15,l)","(12,s)","(15,n)","(11,n)","(15,l)","(11,n)","(12,n)","(13,l)","(17,n)","(6,n)","(25,l)","(24,n)"
"(1,s)","(9,s)"
"(1,l)","(20,l)"
"(27,n)","(7,n)","(4,l)","(26,n)","(18,n)","(17,s)","(18,l)","(16,l)","(19,n)","(10,n)","(12,n)","(13,s)","(18,s)","(17,n)","(6,l)","(25,l)","(24,n)"
"(1,n)","(9,l)","(23,l)","(2,n)","(3,n)","(7,l)","(4,n)","(18,n)","(17,s)","(18,l)","(16,n)"
"(1,n)","(9,l)","(23,n)","(2,n)","(3,n)","(26,n)","(5,l)","(11,l)","(12,n)","(13,l)","(0,l)","(15,n)","(11,n)","(15,n)","(11,n)","(15,s)"
