"(1,l)","(9,s)","(3,s)","(23,l)","(2,s)"
"(1,l)","(9,n)","(1,s)","(3,s)","(23,l)","(7,s)","(2,l)","(3,l)","(26,n)","(5,s)","(27,n)"
"(1,l)","(9,s)"
"(1,l)","(9,s)","(23,l)","(7,n)","(2,n)","(3,l)","(26,l)","(5,s)"
"(1,n)","(9,l)","(23,l)","(2,n)","(3,l)","(0,n)","(5,n)","(11,l)","(12,n)","(13,n)","(0,l)","(15,n)","(11,n)","(15,n)","(11,n)"
"(8,l)","(21,l)","(26,l)","(23,l)","(2,n)","(3,n)","(26,l)","(5,l)","(27,n)"
"(1,l)","(9,s)","(1,s)","(9,s)","(3,s)","(23,n)","(2,l)","(3,s)"
"(1,l)","(9,n)","(23,l)","(2,n)","(3,l)","(0,s)","(26,n)","(5,n)","(11,l)","(12,s)","(13,n)","(0,n)"
"(14,l)","(26,n)","(12,s)","(26,s)","(12,s)","(10,n)","(13,s)","(10,n)","(13,s)","(18,n)","(17,l)","(18,l)","(6,s)","(18,s)","(6,s)","(18,s)","(6,n)","(25,l)","(0,n)","(5,n)","(11,n)"
"(1,l)","(20,l)","(26,n)","(12,s)","(10,s)","(12,s)","(10,n)","(13,l)","(18,s)","(17,n)","(6,s)","(18,n)","(6,s)","(18,n)","(6,s)","(18,n)","(6,s)","(18,s)","(6,s)","(18,s)","(6,s)","(18,s)","(6,s)","(18,s)","(6,n)","(25,l)","(0,s)"
"(14,l)","(19,s)","(12,l)","(13,l)","(18,n)","(17,n)","(18,n)","(6,s)","(18,n)","(6,s)","(18,n)","(6,n)","(25,l)","(24,s)"
"(14,l)","(7,n)","(4,s)"
"(1,n)","(9,n)","(3,s)","(23,n)","(2,s)"
"(2,s)","(14,n)","(2,s)","(3,s)"
"(14,n)","(20,l)","(12,l)","(13,s)","(10,n)","(13,s)","(10,s)","(13,s)","(18,n)","(17,l)","(6,s)","(18,s)","(6,s)","(18,s)","(6,s)","(18,l)","(6,s)","(18,s)","(6,n)","(25,l)","(24,n)"
"(1,n)","(9,n)","(23,n)","(2,n)","(3,n)","(0,s)","(26,n)","(5,n)","(11,l)","(12,l)","(13,s)","(0,n)","(15,s)"
"(1,n)","(9,s)","(3,s)","(23,l)","(2,n)","(3,s)"
"(14,n)","(20,l)","(19,s)","(12,l)","(13,n)","(18,n)","(17,l)","(18,n)","(6,s)","(18,n)","(6,s)","(18,s)","(6,l)","(25,l)","(24,l)"
"(1,l)","(9,s)","(1,s)","(3,s)","(23,l)","(2,n)","(3,s)"
"(14,l)","(7,s)","(1,s)","(12,n)","(13,n)","(18,n)","(17,n)","(18,n)","(6,n)","(25,l)","(24,s)"
"(7,n)","(4,n)","(18,n)","(17,n)","(18,l)","(16,n)","(19,n)"
"(1,l)","(20,l)","(10,n)","(12,s)","(13,l)","(18,n)","(17,n)","(6,s)","(18,s)","(6,s)","(18,s)","(6,s)","(18,s)","(6,s)","(18,n)","(6,s)","(18,s)","(6,s)","(18,n)","(6,s)","(18,s)","(6,n)","(25,l)","(0,n)","(5,n)","(11,n)"
"(1,n)","(20,l)"
"(27,n)","(7,l)","(4,l)","(18,n)","(17,s)","(18,l)","(16,n)","(26,n)","(19,l)","(10,n)","(12,s)","(13,n)","(18,n)","(17,l)","(18,s)","(6,s)","(18,s)","(6,l)","(25,s)","(19,n)","(25,n)","(24,n)"
"(1,s)","(19,n)","(3,s)","(1,n)","(9,s)"
"(27,s)"
"(1,n)","(9,n)","(23,l)","(2,n)","(3,n)","(26,n)","(5,l)","(11,s)"
"(10,n)","(23,n)","(2,s)","(10,n)","(2,s)","(26,s)","(18,n)","(17,n)","(8,l)","(21,l)","(22,l)"
"(2,s)","(26,n)","(18,n)","(17,n)","(8,l)","(21,l)","(22,l)","(15,n)","(11,n)","(15,s)","(11,n)"
"(1,l)","(20,n)"
"(18,l)","(16,s)"
"(1,s)","(7,n)","(23,l)","(2,n)","(3,n)","(7,l)","(4,n)","(26,n)","(18,n)","(17,s)","(18,l)","(14,s)","(16,n)","(19,n)"
"(2,n)","(3,n)","(7,n)","(4,n)","(26,n)","(18,n)","(17,n)","(18,l)","(16,n)"
"(10,n)","(8,s)","(10,s)","(8,s)","(2,s)","(10,s)","(18,n)","(17,s)","(8,l)","(21,l)","(22,l)","(21,l)","(26,l)","(23,l)","(2,n)","(3,l)","(26,n)","(5,l)","(11,n)"
"(1,l)","(9,s)"
"(1,n)","(9,n)","(23,l)","(2,n)","(3,n)","(26,n)","(5,l)","(27,n)"
"(27,n)","(7,l)","(4,n)","(18,n)","(17,s)","(18,l)","(16,l)","(19,l)","(10,n)","(23,s)","(10,n)","(13,l)","(17,l)","(18,l)","(6,s)","(18,s)","(6,n)","(25,l)","(0,n)","(5,s)","(11,l)","(12,n)","(13,n)","(0,l)","(5,s)"
"(10,l)","(23,n)","(2,n)","(3,s)"
"(2,s)","(18,n)","(17,s)","(26,n)","(8,n)","(21,n)"
"(2,s)","(26,s)","(18,n)","(17,n)","(26,s)","(8,l)","(21,l)","(22,l)"
"(10,n)","(26,n)","(7,s)"
"(2,s)","(26,n)","(18,s)","(17,n)","(8,l)","(21,l)"
"(2,s)","(26,n)","(18,s)","(17,s)","(26,n)","(8,l)","(21,l)","(22,n)"
"(2,s)","(10,s)","(2,s)","(10,n)","(2,s)","(18,n)","(17,n)","(8,l)","(21,l)","(22,l)","(15,n)","(11,n)","(15,l)","(11,n)","(15,n)","(11,n)","(15,s)"
"(10,n)","(23,n)","(2,n)","(18,n)","(17,n)","(8,l)","(21,l)","(26,l)","(23,l)","(2,l)","(3,n)","(0,s)","(26,s)","(5,n)","(11,l)","(12,n)","(13,n)","(0,l)","(26,n)","(5,s)","(11,l)","(12,l)","(10,n)","(13,n)","(0,l)","(15,s)"
"(8,n)","(21,l)","(22,n)"
"(10,n)","(23,n)","(2,n)","(18,n)","(17,s)","(8,l)","(21,n)","(26,l)","(23,l)","(2,l)","(3,n)","(26,l)","(5,l)","(11,s)"
"(18,l)","(16,n)","(19,n)"
"(11,s)","(3,s)"
"(2,s)","(3,l)","(26,l)","(5,n)"
"(1,l)","(20,s)"
"(1,l)","(9,n)","(3,s)","(23,l)","(7,n)","(2,n)","(3,l)","(5,s)"
"(1,s)","(9,n)","(7,s)","(23,l)","(2,l)","(3,s)"
"(1,l)","(20,l)"
"(1,l)","(20,l)","(14,s)","(10,n)","(12,s)","(10,n)","(13,s)","(10,s)","(13,n)","(18,s)","(17,l)","(18,l)","(6,s)","(18,s)","(6,n)","(25,l)","(24,s)"
"(1,n)","(20,n)"
"(8,n)","(21,n)"
"(7,n)","(4,l)","(18,n)","(17,n)","(18,l)","(16,n)"
"(1,s)","(9,s)"
"(10,l)","(7,s)"
"(8,s)"
"(1,n)","(9,s)","(23,l)","(2,n)","(3,n)","(7,n)"
"(26,s)","(14,n)","(7,l)","(4,n)","(18,n)","(17,s)","(18,l)","(16,n)","(19,l)","(12,s)","(13,n)","(18,n)","(17,n)","(6,l)","(25,l)","(0,s)","(15,n)","(11,s)","(15,n)","(11,n)","(15,l)","(11,n)"
"(1,n)","(20,l)","(12,n)","(13,l)"
"(23,n)","(2,n)","(3,l)","(26,n)","(5,n)","(11,s)"
"(23,s)","(2,n)","(3,n)"
"(1,n)","(20,l)","(19,s)","(12,n)","(13,l)","(17,l)","(6,l)","(25,n)","(24,l)"
"(1,n)","(20,l)","(19,n)","(12,n)","(13,l)","(18,s)","(17,l)","(6,l)","(25,n)","(24,n)"
"(2,l)","(3,n)"
"(1,s)","(9,l)","(23,n)","(2,l)","(3,n)","(0,n)","(11,l)","(12,n)","(13,n)","(0,l)","(26,l)","(5,n)","(11,n)"
"(10,n)","(26,l)","(23,n)","(2,s)","(26,s)","(18,n)","(17,n)","(26,n)","(8,l)","(21,l)","(22,l)","(26,n)","(23,l)","(2,n)","(3,n)","(26,l)","(5,n)"
"(1,n)","(9,l)","(23,n)","(2,n)","(3,n)","(0,n)","(15,n)","(11,s)","(15,n)","(11,s)","(15,n)","(11,n)"
